dalil,isu
" فَتَنَـٰزَعُوٓا۟ أَمْرَهُم بَيْنَهُمْ وَأَسَرُّوا۟ ٱلنَّجْوَىٰ 
 Mereka berbantah-bantahan tentang urusannya dan merahasiakan percakapannya. 
[Q.S. Taha (20) : 62]", Mereka berbantah-bantahan tentang urusannya dan merahasiakan percakapannya. 
" قَالُوٓا۟ إِنْ هَـٰذَٰنِ لَسَـٰحِرَٰنِ يُرِيدَانِ أَن يُخْرِجَاكُم مِّنْ أَرْضِكُم بِسِحْرِهِمَا وَيَذْهَبَا بِطَرِيقَتِكُمُ ٱلْمُثْلَىٰ 
 Mereka (para penyihir) berkata, “Sesungguhnya dua orang ini adalah benar-benar penyihir yang hendak mengusirmu dari negerimu dengan sihir mereka berdua dan hendak melenyapkan adat kebiasaanmu yang utama. 
[Q.S. Taha (20) : 63]"," Mereka (para penyihir) berkata, “Sesungguhnya dua orang ini adalah benar-benar penyihir yang hendak mengusirmu dari negerimu dengan sihir mereka berdua dan hendak melenyapkan adat kebiasaanmu yang utama. "
" فَأَجْمِعُوا۟ كَيْدَكُمْ ثُمَّ ٱئْتُوا۟ صَفًّا ۚ وَقَدْ أَفْلَحَ ٱلْيَوْمَ مَنِ ٱسْتَعْلَىٰ 
 Kumpulkanlah segala tipu daya (sihir)-mu, kemudian datanglah dalam satu barisan! Sungguh, beruntung orang yang menang pada hari ini.” 
[Q.S. Taha (20) : 64]"," Kumpulkanlah segala tipu daya (sihir)-mu, kemudian datanglah dalam satu barisan! Sungguh, beruntung orang yang menang pada hari ini.” "
" قَالُوا۟ يَـٰمُوسَىٰٓ إِمَّآ أَن تُلْقِىَ وَإِمَّآ أَن نَّكُونَ أَوَّلَ مَنْ أَلْقَىٰ 
 Mereka (para penyihir) berkata, “Wahai Musa, apakah engkau yang melemparkan (dahulu) atau kami yang lebih dahulu melemparkannya?” 
[Q.S. Taha (20) : 65]"," Mereka (para penyihir) berkata, “Wahai Musa, apakah engkau yang melemparkan (dahulu) atau kami yang lebih dahulu melemparkannya?” "
" قَالَ بَلْ أَلْقُوا۟ ۖ فَإِذَا حِبَالُهُمْ وَعِصِيُّهُمْ يُخَيَّلُ إِلَيْهِ مِن سِحْرِهِمْ أَنَّهَا تَسْعَىٰ 
 Dia (Musa) berkata, “Silakan kamu melemparkan!” Tiba-tiba tali-temali dan tongkat-tongkat mereka terbayang olehnya (Musa) seakan-akan ia (ular-ular itu) merayap cepat karena sihir mereka. 
[Q.S. Taha (20) : 66]"," Dia (Musa) berkata, “Silakan kamu melemparkan!” Tiba-tiba tali-temali dan tongkat-tongkat mereka terbayang olehnya (Musa) seakan-akan ia (ular-ular itu) merayap cepat karena sihir mereka. "
" فَأَوْجَسَ فِى نَفْسِهِۦ خِيفَةً مُّوسَىٰ 
 Maka, terlintaslah dalam hati Musa (perasaan) takut. 
[Q.S. Taha (20) : 67]"," Maka, terlintaslah dalam hati Musa (perasaan) takut. "
" قُلْنَا لَا تَخَفْ إِنَّكَ أَنتَ ٱلْأَعْلَىٰ 
 Kami berfirman, “Jangan takut! Sesungguhnya engkaulah yang paling unggul. 
[Q.S. Taha (20) : 68]"," Kami berfirman, “Jangan takut! Sesungguhnya engkaulah yang paling unggul. "
" وَأَلْقِ مَا فِى يَمِينِكَ تَلْقَفْ مَا صَنَعُوٓا۟ ۖ إِنَّمَا صَنَعُوا۟ كَيْدُ سَـٰحِرٍ ۖ وَلَا يُفْلِحُ ٱلسَّاحِرُ حَيْثُ أَتَىٰ 
 Lemparkan apa yang ada di tangan kananmu, niscaya ia akan menelan apa yang mereka buat. Sesungguhnya apa yang mereka buat itu hanyalah tipu daya penyihir (belaka). Tidak akan menang penyihir itu, dari mana pun ia datang.” 
[Q.S. Taha (20) : 69]"," Lemparkan apa yang ada di tangan kananmu, niscaya ia akan menelan apa yang mereka buat. Sesungguhnya apa yang mereka buat itu hanyalah tipu daya penyihir (belaka). Tidak akan menang penyihir itu, dari mana pun ia datang.” "
" فَأُلْقِىَ ٱلسَّحَرَةُ سُجَّدًا قَالُوٓا۟ ءَامَنَّا بِرَبِّ هَـٰرُونَ وَمُوسَىٰ 
 Lalu, para penyihir itu merunduk sujud seraya berkata, “Kami telah percaya kepada Tuhannya Harun dan Musa.” 
[Q.S. Taha (20) : 70]"," Lalu, para penyihir itu merunduk sujud seraya berkata, “Kami telah percaya kepada Tuhannya Harun dan Musa.” "
" قَالَ ءَامَنتُمْ لَهُۥ قَبْلَ أَنْ ءَاذَنَ لَكُمْ ۖ إِنَّهُۥ لَكَبِيرُكُمُ ٱلَّذِى عَلَّمَكُمُ ٱلسِّحْرَ ۖ فَلَأُقَطِّعَنَّ أَيْدِيَكُمْ وَأَرْجُلَكُم مِّنْ خِلَـٰفٍ وَلَأُصَلِّبَنَّكُمْ فِى جُذُوعِ ٱلنَّخْلِ وَلَتَعْلَمُنَّ أَيُّنَآ أَشَدُّ عَذَابًا وَأَبْقَىٰ 
 Dia (Fir‘aun) berkata, “Apakah kamu beriman kepadanya (Musa) sebelum aku memberi izin kepadamu? Sesungguhnya dia itu pemimpinmu yang mengajarkan sihir kepadamu. Sungguh, akan kupotong tangan-tangan dan kaki-kakimu secara bersilang dan sungguh, akan aku salib kamu pada pangkal pohon kurma. Sungguh, kamu pasti akan mengetahui siapa di antara kita yang lebih keras dan lebih kekal siksaannya.” 
[Q.S. Taha (20) : 71]"," Dia (Fir‘aun) berkata, “Apakah kamu beriman kepadanya (Musa) sebelum aku memberi izin kepadamu? Sesungguhnya dia itu pemimpinmu yang mengajarkan sihir kepadamu. Sungguh, akan kupotong tangan-tangan dan kaki-kakimu secara bersilang dan sungguh, akan aku salib kamu pada pangkal pohon kurma. Sungguh, kamu pasti akan mengetahui siapa di antara kita yang lebih keras dan lebih kekal siksaannya.” "
" قَالُوا۟ لَن نُّؤْثِرَكَ عَلَىٰ مَا جَآءَنَا مِنَ ٱلْبَيِّنَـٰتِ وَٱلَّذِى فَطَرَنَا ۖ فَٱقْضِ مَآ أَنتَ قَاضٍ ۖ إِنَّمَا تَقْضِى هَـٰذِهِ ٱلْحَيَوٰةَ ٱلدُّنْيَآ 
 Mereka (para penyihir) berkata, “Kami tidak akan mengutamakanmu daripada bukti-bukti nyata (mukjizat) yang telah datang kepada kami (melalui Musa) dan daripada (Allah) yang telah menciptakan kami. Putuskanlah apa yang hendak engkau putuskan! Sesungguhnya engkau hanya dapat memutuskan (perkara) dalam kehidupan dunia ini. 
[Q.S. Taha (20) : 72]"," Mereka (para penyihir) berkata, “Kami tidak akan mengutamakanmu daripada bukti-bukti nyata (mukjizat) yang telah datang kepada kami (melalui Musa) dan daripada (Allah) yang telah menciptakan kami. Putuskanlah apa yang hendak engkau putuskan! Sesungguhnya engkau hanya dapat memutuskan (perkara) dalam kehidupan dunia ini. "
" إِنَّآ ءَامَنَّا بِرَبِّنَا لِيَغْفِرَ لَنَا خَطَـٰيَـٰنَا وَمَآ أَكْرَهْتَنَا عَلَيْهِ مِنَ ٱلسِّحْرِ ۗ وَٱللَّهُ خَيْرٌ وَأَبْقَىٰٓ 
 Sesungguhnya kami telah beriman kepada Tuhan kami agar Dia mengampuni semua kesalahan kami dan sihir yang telah engkau paksakan kepada kami. Allah lebih baik dan lebih kekal.” 
[Q.S. Taha (20) : 73]", Sesungguhnya kami telah beriman kepada Tuhan kami agar Dia mengampuni semua kesalahan kami dan sihir yang telah engkau paksakan kepada kami. Allah lebih baik dan lebih kekal.” 
" إِنَّهُۥ مَن يَأْتِ رَبَّهُۥ مُجْرِمًا فَإِنَّ لَهُۥ جَهَنَّمَ لَا يَمُوتُ فِيهَا وَلَا يَحْيَىٰ 
 Sesungguhnya siapa yang datang kepada Tuhannya dalam keadaan berdosa, (disediakan) baginya (neraka) Jahanam. Dia tidak mati (sehingga terhindar dari azab) di dalamnya dan tidak (pula) hidup (dengan layak dan nyaman). 
[Q.S. Taha (20) : 74]"," Sesungguhnya siapa yang datang kepada Tuhannya dalam keadaan berdosa, (disediakan) baginya (neraka) Jahanam. Dia tidak mati (sehingga terhindar dari azab) di dalamnya dan tidak (pula) hidup (dengan layak dan nyaman). "
" وَمَن يَأْتِهِۦ مُؤْمِنًا قَدْ عَمِلَ ٱلصَّـٰلِحَـٰتِ فَأُو۟لَـٰٓئِكَ لَهُمُ ٱلدَّرَجَـٰتُ ٱلْعُلَىٰ 
 Siapa yang datang kepada-Nya dalam keadaan beriman dan telah beramal saleh, mereka itulah orang-orang yang memperoleh derajat yang tinggi (mulia), 
[Q.S. Taha (20) : 75]"," Siapa yang datang kepada-Nya dalam keadaan beriman dan telah beramal saleh, mereka itulah orang-orang yang memperoleh derajat yang tinggi (mulia), "
" جَنَّـٰتُ عَدْنٍ تَجْرِى مِن تَحْتِهَا ٱلْأَنْهَـٰرُ خَـٰلِدِينَ فِيهَا ۚ وَذَٰلِكَ جَزَآءُ مَن تَزَكَّىٰ 
 (yaitu) surga-surga ‘Adn yang mengalir di bawahnya sungai-sungai. Mereka kekal di dalamnya. Itulah balasan bagi orang yang menyucikan diri. 
[Q.S. Taha (20) : 76]", (yaitu) surga-surga ‘Adn yang mengalir di bawahnya sungai-sungai. Mereka kekal di dalamnya. Itulah balasan bagi orang yang menyucikan diri. 
" وَلَقَدْ أَوْحَيْنَآ إِلَىٰ مُوسَىٰٓ أَنْ أَسْرِ بِعِبَادِى فَٱضْرِبْ لَهُمْ طَرِيقًا فِى ٱلْبَحْرِ يَبَسًا لَّا تَخَـٰفُ دَرَكًا وَلَا تَخْشَىٰ 
 Sungguh, telah Kami wahyukan kepada Musa, “Pergilah bersama hamba-hamba-Ku (Bani Israil) pada malam hari dan pukullah laut itu untuk menjadi jalan yang kering bagi mereka[^473] tanpa rasa takut akan tersusul dan tanpa rasa khawatir (akan tenggelam).”  [^473]: Memukul laut itu dengan tongkat (lihat surah asy-Syu‘arā’ \[26\]: 63). 
[Q.S. Taha (20) : 77]"," Sungguh, telah Kami wahyukan kepada Musa, “Pergilah bersama hamba-hamba-Ku (Bani Israil) pada malam hari dan pukullah laut itu untuk menjadi jalan yang kering bagi mereka[^473] tanpa rasa takut akan tersusul dan tanpa rasa khawatir (akan tenggelam).”  [^473]: Memukul laut itu dengan tongkat (lihat surah asy-Syu‘arā’ \[26\]: 63). "
" فَأَتْبَعَهُمْ فِرْعَوْنُ بِجُنُودِهِۦ فَغَشِيَهُم مِّنَ ٱلْيَمِّ مَا غَشِيَهُمْ 
 Fir‘aun dengan bala tentaranya lalu mengejar mereka (Musa dan pengikutnya), tetapi mereka (Fir‘aun dengan bala tentaranya) digulung ombak laut (yang dahsyat) sehingga menenggelamkan mereka. 
[Q.S. Taha (20) : 78]"," Fir‘aun dengan bala tentaranya lalu mengejar mereka (Musa dan pengikutnya), tetapi mereka (Fir‘aun dengan bala tentaranya) digulung ombak laut (yang dahsyat) sehingga menenggelamkan mereka. "
" وَأَضَلَّ فِرْعَوْنُ قَوْمَهُۥ وَمَا هَدَىٰ 
 Fir‘aun telah menyesatkan kaumnya dan tidak memberi (mereka) petunjuk. 
[Q.S. Taha (20) : 79]", Fir‘aun telah menyesatkan kaumnya dan tidak memberi (mereka) petunjuk. 
" يَـٰبَنِىٓ إِسْرَٰٓءِيلَ قَدْ أَنجَيْنَـٰكُم مِّنْ عَدُوِّكُمْ وَوَٰعَدْنَـٰكُمْ جَانِبَ ٱلطُّورِ ٱلْأَيْمَنَ وَنَزَّلْنَا عَلَيْكُمُ ٱلْمَنَّ وَٱلسَّلْوَىٰ 
 Wahai Bani Israil, sungguh Kami telah menyelamatkanmu dari musuhmu, mengadakan perjanjian denganmu (untuk bermunajat) di sebelah kanan gunung itu (gunung Sinai), dan menurunkan kepadamu[^474] manna dan salwa.[^475]  [^474]: Ayat ini ditujukan kepada orang Yahudi pada zaman Nabi Muhammad saw., sedangkan yang dimaksud kamu pada ayat ini adalah nenek moyang mereka.  [^475]: Lihat penjelasan tentang manna dan salwa pada catatan kaki surah al-Baqarah (2): 57. 
[Q.S. Taha (20) : 80]"," Wahai Bani Israil, sungguh Kami telah menyelamatkanmu dari musuhmu, mengadakan perjanjian denganmu (untuk bermunajat) di sebelah kanan gunung itu (gunung Sinai), dan menurunkan kepadamu[^474] manna dan salwa.[^475]  [^474]: Ayat ini ditujukan kepada orang Yahudi pada zaman Nabi Muhammad saw., sedangkan yang dimaksud kamu pada ayat ini adalah nenek moyang mereka.  [^475]: Lihat penjelasan tentang manna dan salwa pada catatan kaki surah al-Baqarah (2): 57. "
" كُلُوا۟ مِن طَيِّبَـٰتِ مَا رَزَقْنَـٰكُمْ وَلَا تَطْغَوْا۟ فِيهِ فَيَحِلَّ عَلَيْكُمْ غَضَبِى ۖ وَمَن يَحْلِلْ عَلَيْهِ غَضَبِى فَقَدْ هَوَىٰ 
 Makanlah sebagian yang baik-baik dari rezeki yang telah Kami anugerahkan kepadamu. Janganlah melampaui batas yang menyebabkan kemurkaan-Ku akan menimpamu. Siapa yang ditimpa kemurkaan-Ku, maka sungguh binasalah dia. 
[Q.S. Taha (20) : 81]"," Makanlah sebagian yang baik-baik dari rezeki yang telah Kami anugerahkan kepadamu. Janganlah melampaui batas yang menyebabkan kemurkaan-Ku akan menimpamu. Siapa yang ditimpa kemurkaan-Ku, maka sungguh binasalah dia. "
" وَإِنِّى لَغَفَّارٌ لِّمَن تَابَ وَءَامَنَ وَعَمِلَ صَـٰلِحًا ثُمَّ ٱهْتَدَىٰ 
 Sesungguhnya Aku Maha Pengampun bagi yang bertobat, beriman, dan berbuat kebajikan, kemudian tetap dalam petunjuk. 
[Q.S. Taha (20) : 82]"," Sesungguhnya Aku Maha Pengampun bagi yang bertobat, beriman, dan berbuat kebajikan, kemudian tetap dalam petunjuk. "
" ۞ وَمَآ أَعْجَلَكَ عَن قَوْمِكَ يَـٰمُوسَىٰ 
 (Allah berfirman,) “Apa yang membuat engkau datang (ke gunung Sinai) lebih cepat sehingga meninggalkan kaummu, wahai Musa?” 
[Q.S. Taha (20) : 83]"," (Allah berfirman,) “Apa yang membuat engkau datang (ke gunung Sinai) lebih cepat sehingga meninggalkan kaummu, wahai Musa?” "
" قَالَ هُمْ أُو۟لَآءِ عَلَىٰٓ أَثَرِى وَعَجِلْتُ إِلَيْكَ رَبِّ لِتَرْضَىٰ 
 (Musa) berkata, “Itu mereka sedang menyusulku dan aku bersegera kepada-Mu, ya Tuhanku, agar Engkau rida.” 
[Q.S. Taha (20) : 84]"," (Musa) berkata, “Itu mereka sedang menyusulku dan aku bersegera kepada-Mu, ya Tuhanku, agar Engkau rida.” "
" قَالَ فَإِنَّا قَدْ فَتَنَّا قَوْمَكَ مِنۢ بَعْدِكَ وَأَضَلَّهُمُ ٱلسَّامِرِىُّ 
 Dia (Allah) berfirman, “Sesungguhnya Kami benar-benar telah menguji kaummu setelah engkau tinggalkan dan Samiri telah menyesatkan mereka.” 
[Q.S. Taha (20) : 85]"," Dia (Allah) berfirman, “Sesungguhnya Kami benar-benar telah menguji kaummu setelah engkau tinggalkan dan Samiri telah menyesatkan mereka.” "
" فَرَجَعَ مُوسَىٰٓ إِلَىٰ قَوْمِهِۦ غَضْبَـٰنَ أَسِفًا ۚ قَالَ يَـٰقَوْمِ أَلَمْ يَعِدْكُمْ رَبُّكُمْ وَعْدًا حَسَنًا ۚ أَفَطَالَ عَلَيْكُمُ ٱلْعَهْدُ أَمْ أَرَدتُّمْ أَن يَحِلَّ عَلَيْكُمْ غَضَبٌ مِّن رَّبِّكُمْ فَأَخْلَفْتُم مَّوْعِدِى 
 Lalu, Musa kembali kepada kaumnya dalam keadaan marah lagi sedih. Dia berkata, “Wahai kaumku, bukankah Tuhanmu telah menjanjikan kepadamu suatu janji yang baik? Apakah masa perjanjian itu terlalu lama bagimu atau kamu menghendaki agar kemurkaan Tuhan menimpamu sehingga kamu melanggar perjanjianmu denganku?” 
[Q.S. Taha (20) : 86]"," Lalu, Musa kembali kepada kaumnya dalam keadaan marah lagi sedih. Dia berkata, “Wahai kaumku, bukankah Tuhanmu telah menjanjikan kepadamu suatu janji yang baik? Apakah masa perjanjian itu terlalu lama bagimu atau kamu menghendaki agar kemurkaan Tuhan menimpamu sehingga kamu melanggar perjanjianmu denganku?” "
" قَالُوا۟ مَآ أَخْلَفْنَا مَوْعِدَكَ بِمَلْكِنَا وَلَـٰكِنَّا حُمِّلْنَآ أَوْزَارًا مِّن زِينَةِ ٱلْقَوْمِ فَقَذَفْنَـٰهَا فَكَذَٰلِكَ أَلْقَى ٱلسَّامِرِىُّ 
 Mereka berkata, “Kami tidak melanggar perjanjian (dengan)-mu atas kemauan kami sendiri. Akan tetapi, kami harus membawa beban berat[^476] berupa perhiasan kaum (Fir‘aun) itu. Kami kemudian melemparkannya (ke dalam perapian) dan demikian pula Samiri melemparkannya.[^477]  [^476]: Beban berat yang disebutkan dalam ayat ini dapat berarti berat dalam makna fisik dan dapat pula berarti beban dosa karena tidak mengembalikan perhiasan yang mereka pinjam dari penduduk Mesir.  [^477]: Mereka disuruh membawa perhiasan emas milik orang-orang Mesir, lalu Samiri meminta mereka melemparkan perhiasan itu ke dalam api yang telah dinyalakannya dalam suatu lubang untuk dijadikan patung berbentuk anak sapi. Kemudian, mereka melemparkannya bersama-sama dengan Samiri. 
[Q.S. Taha (20) : 87]"," Mereka berkata, “Kami tidak melanggar perjanjian (dengan)-mu atas kemauan kami sendiri. Akan tetapi, kami harus membawa beban berat[^476] berupa perhiasan kaum (Fir‘aun) itu. Kami kemudian melemparkannya (ke dalam perapian) dan demikian pula Samiri melemparkannya.[^477]  [^476]: Beban berat yang disebutkan dalam ayat ini dapat berarti berat dalam makna fisik dan dapat pula berarti beban dosa karena tidak mengembalikan perhiasan yang mereka pinjam dari penduduk Mesir.  [^477]: Mereka disuruh membawa perhiasan emas milik orang-orang Mesir, lalu Samiri meminta mereka melemparkan perhiasan itu ke dalam api yang telah dinyalakannya dalam suatu lubang untuk dijadikan patung berbentuk anak sapi. Kemudian, mereka melemparkannya bersama-sama dengan Samiri. "
" فَأَخْرَجَ لَهُمْ عِجْلًا جَسَدًا لَّهُۥ خُوَارٌ فَقَالُوا۟ هَـٰذَآ إِلَـٰهُكُمْ وَإِلَـٰهُ مُوسَىٰ فَنَسِىَ 
 (Dari perapian itu) kemudian dia (Samiri) mengeluarkan untuk mereka patung berwujud anak sapi yang bersuara.[^478] Mereka lalu berkata, “Inilah Tuhanmu dan Tuhan Musa, tetapi dia (Musa) telah lupa (bahwa Tuhannya di sini).”  [^478]: Lihat catatan kaki surah al-A‘rāf (7): 148. 
[Q.S. Taha (20) : 88]"," (Dari perapian itu) kemudian dia (Samiri) mengeluarkan untuk mereka patung berwujud anak sapi yang bersuara.[^478] Mereka lalu berkata, “Inilah Tuhanmu dan Tuhan Musa, tetapi dia (Musa) telah lupa (bahwa Tuhannya di sini).”  [^478]: Lihat catatan kaki surah al-A‘rāf (7): 148. "
" أَفَلَا يَرَوْنَ أَلَّا يَرْجِعُ إِلَيْهِمْ قَوْلًا وَلَا يَمْلِكُ لَهُمْ ضَرًّا وَلَا نَفْعًا 
 Maka, tidakkah mereka memperhatikan bahwa (patung anak sapi itu) tidak dapat memberi jawaban kepada mereka dan tidak kuasa menolak mudarat maupun mendatangkan manfaat kepada mereka? 
[Q.S. Taha (20) : 89]"," Maka, tidakkah mereka memperhatikan bahwa (patung anak sapi itu) tidak dapat memberi jawaban kepada mereka dan tidak kuasa menolak mudarat maupun mendatangkan manfaat kepada mereka? "
" وَلَقَدْ قَالَ لَهُمْ هَـٰرُونُ مِن قَبْلُ يَـٰقَوْمِ إِنَّمَا فُتِنتُم بِهِۦ ۖ وَإِنَّ رَبَّكُمُ ٱلرَّحْمَـٰنُ فَٱتَّبِعُونِى وَأَطِيعُوٓا۟ أَمْرِى 
 Sungguh, sebelumnya Harun telah berkata kepada mereka, “Wahai kaumku, sesungguhnya kamu hanya diberi cobaan dengannya (patung anak sapi) dan sesungguhnya Tuhanmu ialah (Allah) Yang Maha Pengasih. Maka, ikutilah aku dan taatilah perintahku.” 
[Q.S. Taha (20) : 90]"," Sungguh, sebelumnya Harun telah berkata kepada mereka, “Wahai kaumku, sesungguhnya kamu hanya diberi cobaan dengannya (patung anak sapi) dan sesungguhnya Tuhanmu ialah (Allah) Yang Maha Pengasih. Maka, ikutilah aku dan taatilah perintahku.” "
" قَالُوا۟ لَن نَّبْرَحَ عَلَيْهِ عَـٰكِفِينَ حَتَّىٰ يَرْجِعَ إِلَيْنَا مُوسَىٰ 
 Mereka menjawab, “Kami tidak akan meninggalkannya (patung anak sapi) (dan) tetap akan menyembahnya sampai Musa kembali kepada kami.” 
[Q.S. Taha (20) : 91]"," Mereka menjawab, “Kami tidak akan meninggalkannya (patung anak sapi) (dan) tetap akan menyembahnya sampai Musa kembali kepada kami.” "
" قَالَ يَـٰهَـٰرُونُ مَا مَنَعَكَ إِذْ رَأَيْتَهُمْ ضَلُّوٓا۟ 
 Dia (Musa) berkata, “Wahai Harun, apa yang menghalangimu, ketika engkau melihat mereka telah sesat, 
[Q.S. Taha (20) : 92]"," Dia (Musa) berkata, “Wahai Harun, apa yang menghalangimu, ketika engkau melihat mereka telah sesat, "
" أَلَّا تَتَّبِعَنِ ۖ أَفَعَصَيْتَ أَمْرِى 
 dari mengikuti (dan menyusul)-ku? Apakah engkau (sengaja) melanggar perintahku?” 
[Q.S. Taha (20) : 93]", dari mengikuti (dan menyusul)-ku? Apakah engkau (sengaja) melanggar perintahku?” 
" قَالَ يَبْنَؤُمَّ لَا تَأْخُذْ بِلِحْيَتِى وَلَا بِرَأْسِىٓ ۖ إِنِّى خَشِيتُ أَن تَقُولَ فَرَّقْتَ بَيْنَ بَنِىٓ إِسْرَٰٓءِيلَ وَلَمْ تَرْقُبْ قَوْلِى 
 Dia (Harun) menjawab, “Wahai putra ibuku, janganlah engkau tarik janggutku dan jangan (pula engkau jambak rambut) kepalaku. Sesungguhnya aku khawatir engkau akan berkata (kepadaku), ‘Engkau telah memecah belah Bani Israil dan tidak memelihara amanatku.’” 
[Q.S. Taha (20) : 94]"," Dia (Harun) menjawab, “Wahai putra ibuku, janganlah engkau tarik janggutku dan jangan (pula engkau jambak rambut) kepalaku. Sesungguhnya aku khawatir engkau akan berkata (kepadaku), ‘Engkau telah memecah belah Bani Israil dan tidak memelihara amanatku.’” "
" قَالَ فَمَا خَطْبُكَ يَـٰسَـٰمِرِىُّ 
 Dia (Musa) berkata, “Apa yang mendorongmu (berbuat demikian), wahai Samiri?” 
[Q.S. Taha (20) : 95]"," Dia (Musa) berkata, “Apa yang mendorongmu (berbuat demikian), wahai Samiri?” "
" قَالَ بَصُرْتُ بِمَا لَمْ يَبْصُرُوا۟ بِهِۦ فَقَبَضْتُ قَبْضَةً مِّنْ أَثَرِ ٱلرَّسُولِ فَنَبَذْتُهَا وَكَذَٰلِكَ سَوَّلَتْ لِى نَفْسِى 
 Dia (Samiri) menjawab, “Aku melihat sesuatu yang tidak mereka lihat. Kemudian, aku ambil segenggam (tanah) bekas jejak rasul (Jibril) lalu aku lemparkan (ke dalam mulut patung anak sapi).[^479] Demikianlah nafsuku membujukku.”  [^479]: Menurut jumhur ulama, yang dimaksud dengan jejak rasul adalah jejak telapak kuda Jibril a.s. Pendapat ini menjelaskan bahwa Samiri mengambil segumpal tanah dari jejak telapak kuda itu lalu melemparkannya ke arah patung anak sapi yang berasal dari leburan perhiasan emas tadi sehingga patung itu mengeluarkan suara. Adapun sebagian kecil mufasir berpendapat bahwa jejak rasul di sini adalah ajaran-ajarannya. Menurut pemahaman ini, Samiri mengambil sebagian ajaran Nabi Musa a.s. kemudian meninggalkan ajaran-ajaran itu sehingga dia menjadi sesat. 
[Q.S. Taha (20) : 96]"," Dia (Samiri) menjawab, “Aku melihat sesuatu yang tidak mereka lihat. Kemudian, aku ambil segenggam (tanah) bekas jejak rasul (Jibril) lalu aku lemparkan (ke dalam mulut patung anak sapi).[^479] Demikianlah nafsuku membujukku.”  [^479]: Menurut jumhur ulama, yang dimaksud dengan jejak rasul adalah jejak telapak kuda Jibril a.s. Pendapat ini menjelaskan bahwa Samiri mengambil segumpal tanah dari jejak telapak kuda itu lalu melemparkannya ke arah patung anak sapi yang berasal dari leburan perhiasan emas tadi sehingga patung itu mengeluarkan suara. Adapun sebagian kecil mufasir berpendapat bahwa jejak rasul di sini adalah ajaran-ajarannya. Menurut pemahaman ini, Samiri mengambil sebagian ajaran Nabi Musa a.s. kemudian meninggalkan ajaran-ajaran itu sehingga dia menjadi sesat. "
" قَالَ فَٱذْهَبْ فَإِنَّ لَكَ فِى ٱلْحَيَوٰةِ أَن تَقُولَ لَا مِسَاسَ ۖ وَإِنَّ لَكَ مَوْعِدًا لَّن تُخْلَفَهُۥ ۖ وَٱنظُرْ إِلَىٰٓ إِلَـٰهِكَ ٱلَّذِى ظَلْتَ عَلَيْهِ عَاكِفًا ۖ لَّنُحَرِّقَنَّهُۥ ثُمَّ لَنَنسِفَنَّهُۥ فِى ٱلْيَمِّ نَسْفًا 
 Dia (Musa) berkata (kepada Samiri), “Pergilah kau! Sesungguhnya di dalam kehidupan (dunia) engkau (hanya dapat) mengatakan, ‘Jangan sentuh (aku).’[^480] Engkau pasti mendapat (hukuman) yang telah dijanjikan (di akhirat) yang tidak akan dapat engkau hindari. Lihatlah tuhanmu itu yang tetap engkau sembah. Kami pasti akan membakarnya, kemudian sungguh kami akan menghamburkan (abu)-nya ke laut.”  [^480]: Larangan menyentuh Nabi Musa a.s. bertujuan agar Samiri hidup terpencil sebagai hukuman di dunia. Adapun sebagai hukuman di akhirat, dia akan ditempatkan di neraka. 
[Q.S. Taha (20) : 97]"," Dia (Musa) berkata (kepada Samiri), “Pergilah kau! Sesungguhnya di dalam kehidupan (dunia) engkau (hanya dapat) mengatakan, ‘Jangan sentuh (aku).’[^480] Engkau pasti mendapat (hukuman) yang telah dijanjikan (di akhirat) yang tidak akan dapat engkau hindari. Lihatlah tuhanmu itu yang tetap engkau sembah. Kami pasti akan membakarnya, kemudian sungguh kami akan menghamburkan (abu)-nya ke laut.”  [^480]: Larangan menyentuh Nabi Musa a.s. bertujuan agar Samiri hidup terpencil sebagai hukuman di dunia. Adapun sebagai hukuman di akhirat, dia akan ditempatkan di neraka. "
" إِنَّمَآ إِلَـٰهُكُمُ ٱللَّهُ ٱلَّذِى لَآ إِلَـٰهَ إِلَّا هُوَ ۚ وَسِعَ كُلَّ شَىْءٍ عِلْمًا 
 Sesungguhnya Tuhanmu hanyalah Allah yang tidak ada tuhan selain Dia. Ilmu-Nya meliputi segala sesuatu. 
[Q.S. Taha (20) : 98]", Sesungguhnya Tuhanmu hanyalah Allah yang tidak ada tuhan selain Dia. Ilmu-Nya meliputi segala sesuatu. 
" كَذَٰلِكَ نَقُصُّ عَلَيْكَ مِنْ أَنۢبَآءِ مَا قَدْ سَبَقَ ۚ وَقَدْ ءَاتَيْنَـٰكَ مِن لَّدُنَّا ذِكْرًا 
 Demikianlah Kami kisahkan kepadamu (Nabi Muhammad) sebagian kisah umat yang terdahulu dan sungguh, telah Kami anugerahkan kepadamu suatu peringatan (Al-Qur’an) dari sisi Kami. 
[Q.S. Taha (20) : 99]"," Demikianlah Kami kisahkan kepadamu (Nabi Muhammad) sebagian kisah umat yang terdahulu dan sungguh, telah Kami anugerahkan kepadamu suatu peringatan (Al-Qur’an) dari sisi Kami. "
